"Sr. No.","State Name","Hon'ble Member Of Parliament","Constituency","Allocated Amount ( ₹ )"
"465","Kerala","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","12,34,29,519.11"
"466","Arunachal Pradesh","Shri Tapir Gao","ARUNACHAL EAST","9,80,00,000"
"467","Tamil Nadu","Shri vijayakumar Vasanth","KANNIYAKUMARI","12,25,00,000"
"468","Maharashtra","Shrikant Eknath Shinde","KALYAN","9,80,00,000"
"469","Maharashtra","SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","SATARA","9,80,00,000"
"470","Goa","Shripad Yesso Naik","NORTH GOA","9,80,00,000"
"471","Maharashtra","Shrirang Appa Barne","MAVAL","9,80,00,000"
"472","Maharashtra","Shyamkumar","RAMTEK(SC)","9,80,00,000"
"473","Andhra Pradesh","Sivanath Kesineni","VIJAYAWADA","9,80,00,000"
"474","West Bengal","SK NURUL ISLAM","BASIRHAT","4,90,00,000"
"475","Maharashtra","SMITA UDAY WAGH","JALGAON","9,80,00,000"
"476","Uttar Pradesh","Smt Anupriya Patel","MIRZAPUR","9,80,00,000"
"477","Odisha","Smt Aparajita Sarangi","BHUBANESWAR","9,84,20,861.41"
"478","Uttar Pradesh","Smt Dimple Yadav","MAINPURI","14,30,42,469.11"
"479","Punjab","Smt Harsimrat Kaur Badal","BHATINDA","11,07,75,982.39"
"480","Uttar Pradesh","Smt Hema Malini","MATHURA","9,80,00,000"
"481","Madhya Pradesh","Smt Himadri Singh","SHAHDOL (ST)","9,80,00,000"
"482","Gujarat","Smt Poonamben Hematbhai Maadam","JAMNAGAR","9,80,00,000"
"483","Maharashtra","Smt Raksha Nikhil Khadse","RAVER","9,80,00,000"
"484","Tamil Nadu","Smt S Jothimani","KARUR","9,80,00,000"
"485","West Bengal","Smt Sajda Ahmed","ULUBERIA","9,80,00,000"
"486","Madhya Pradesh","Smt Sandhya Ray","BHIND(SC)","9,80,00,000"
"487","Odisha","Smt Sangeeta Kumari Singh Deo","BOLANGIR","9,80,00,000"
"488","West Bengal","Smt Satabdi Roy (Banerjee)","BIRBHUM","9,80,00,000"
"489","Maharashtra","Smt Supriya Sadanand Sule","BARAMATI","9,80,00,000"
"490","Bihar","Smt Veena Devi","VAISHALI","9,80,00,000"
"491","Andhra Pradesh","Sribharat MathuKumli","VISAKHAPATNAM","9,80,00,000"
"492","Bihar","SUDAMA PRASAD","ARRAH","9,80,00,000"
"493","Tamil Nadu","SUDHA R","MAYILADUTHURAI","9,83,32,315.11"
"494","Bihar","SUDHAKAR SINGH","BUXAR","12,08,81,866.43"
"495","West Bengal","Sudip Bandyopadhyay","KOLKATA UTTAR","9,80,00,000"
"496","Odisha","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","14,17,12,424.11"
"497","Jharkhand","SUKHDEO BHAGAT","LOHARDAGA(ST)","12,28,21,957.11"
"498","Punjab","SUKHJINDER SINGH RANDHAWA","GURDASPUR","9,80,00,000"
"499","Karnataka","SUNIL BOSE","CHAMARAJANAGAR(SC)","9,80,00,000"
"500","Maharashtra","Sunil Dattatray Tatkare","RAIGAD","9,80,00,000"
"501","Bihar","Sunil Kumar","VALMIKI NAGAR","9,80,00,000"
"502","Bihar","SURENDRA PRASAD YADAV","JAHANABAD","9,80,00,000"
"503","Kerala","SURESH GOPI","THRISSUR","9,80,00,000"
"504","Himachal Pradesh","Suresh Kumar Kashyap","SHIMLA (SC)","10,45,63,957.11"
