"Sr. No.","State","Work","Vendor Name","IDA","Hon'ble Member Of Parliament","Expenditure Date","Constituency","Work Status","Work Id","Fund Disbursed Amount ( ₹ )"
"106","Uttar Pradesh","Installing community drinking water plants","TANYA CONSTRUCTION","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","11-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137219","1,98,012"
"107","Uttar Pradesh","Installing community drinking water plants","TANYA CONSTRUCTION","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","09-Oct-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137219","65,839"
"108","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","09-Oct-2024","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137031","4,14,035"
"109","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","SAI ENTERPRISES","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","25-Apr-2025","AGRA(SC)","Payment Success","WS/MP494/2024-2025/137031","1,37,642"
"110","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","Vikas Adhikari KATHUMAR","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","16-Jan-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136229","1,000"
"111","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","navajyoti printing press pvt ltd","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","02-Sep-2025","BHARATPUR(SC)","Payment Success","WS/MP18161/2024-2025/136229","2,426"
"112","Uttar Pradesh","Construction of bus-sheds or bus-stops","RAMJI CONSTRUCTION","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","17-Sep-2024","SHAHJAHANPUR(SC)","Payment Success","WS/MP492/2024-2025/134981","6,60,000"
"113","Uttar Pradesh","Construction of bus-sheds or bus-stops","RAMJI CONSTRUCTION","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","17-Sep-2024","SHAHJAHANPUR(SC)","Payment Success","WS/MP492/2024-2025/134981","6,60,000"
"114","Uttar Pradesh","Construction of bus-sheds or bus-stops","RAMJI CONSTRUCTION","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","17-Sep-2024","SHAHJAHANPUR(SC)","Payment Success","WS/MP492/2024-2025/134981","6,60,000"
"115","Uttar Pradesh","Construction of bus-sheds or bus-stops","RAMJI CONSTRUCTION","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","17-Sep-2024","SHAHJAHANPUR(SC)","Payment Success","WS/MP492/2024-2025/134981","6,60,000"
"116","Uttar Pradesh","Construction of bus-sheds or bus-stops","RAMJI CONSTRUCTION","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","21-Sep-2024","SHAHJAHANPUR(SC)","Payment Success","WS/MP492/2024-2025/134981","6,60,000"
"117","Uttar Pradesh","Construction of bus-sheds or bus-stops","RAMJI CONSTRUCTION","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","21-Sep-2024","SHAHJAHANPUR(SC)","Payment Success","WS/MP492/2024-2025/134981","6,60,000"
"118","Uttar Pradesh","Construction of bus-sheds or bus-stops","RAMJI CONSTRUCTION","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","21-Sep-2024","SHAHJAHANPUR(SC)","Payment Success","WS/MP492/2024-2025/134981","6,60,000"
"119","West Bengal","Street lights","NIRANJAN SARKAR","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","16-Jul-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135588","4,05,348"
"120","West Bengal","Street lights","NIRANJAN SARKAR","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","17-Jul-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135592","4,05,348"
"121","West Bengal","Street lights","DALJYOR UNEMPLOYED ENGINEERS COOPERATIVE","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","17-Oct-2025","DARJEELING","Payment Success","WS/MP826/2025-2026/135684","4,00,000"
"122","West Bengal","Construction of additional rooms and halls in the existing public and community building","DIPENDRA DEWAN","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","18-Feb-2026","DARJEELING","Payment Success","WS/MP826/2025-2026/135686","4,95,649"
"123","West Bengal","Construction of footpaths and pedestrian ways","Sapan Kharga","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","23-Sep-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135706","4,69,178"
"124","West Bengal","Construction of rooms and halls in school and colleges","Dawa Lepcha","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","25-Sep-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135715","4,90,768"
"125","West Bengal","Street lights","Soumita Enterprise","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","26-May-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135716","4,11,948"
"126","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","RABIN TAMANG","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","24-Sep-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135759","3,86,160"
"127","West Bengal","Street lights","SUMAN PRADHAN","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","29-Apr-2025","DARJEELING","Payment Success","WS/MP826/2024-2025/135570","4,66,505"
"128","Madhya Pradesh","Purchase Books for Library","ESSKAY ENTERPRISES DELHI","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","18-Jul-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/135914","1,00,000"
"129","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/135993","3,11,640"
"130","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-May-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/135993","53,948"
"131","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/135997","3,11,640"
"132","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","16-May-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/135997","53,948"
"133","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/135999","3,11,640"
"134","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","16-May-2025","KHANDWA","Payment Success","WS/MP643/2024-2025/135999","53,948"
"135","Madhya Pradesh","Lighting of public spaces","mp agro","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","13-Sep-2024","KHANDWA","Payment Success","WS/MP643/2024-2025/136001","3,11,640"
"136","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","28-Aug-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135181","5,56,365"
"137","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","28-Aug-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135182","5,56,365"
"138","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","28-Aug-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135272","5,56,365"
"139","West Bengal","Street lights","Prabir Naiya","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","27-Nov-2024","JOYNAGAR(SC)","Payment Success","WS/MP485/2024-2025/134327","3,46,475"
"140","West Bengal","Street lights","IMON CONTECH","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","21-Mar-2025","JOYNAGAR(SC)","Payment Success","WS/MP485/2024-2025/134787","2,27,469"
"141","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","12-Sep-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135003","5,56,337"
"142","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","28-Aug-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135166","5,56,365"
"143","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","13-Sep-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135211","5,56,337"
"144","West Bengal","Lighting of public spaces","PABAN AGARWALA","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","13-Sep-2025","COOCHBEHAR(SC)","Payment Success","WS/MP18271/2025-2026/135271","5,56,337"
"145","Punjab","Construction of rooms and halls in school and colleges","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","11-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133692","2,16,622"
"146","Punjab","Construction of rooms and halls in school and colleges","Promark Techsolution pvt ltd","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","04-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133697","90,000"
"147","Punjab","Construction of rooms and halls in school and colleges","R J CIVIL CONTRACTOR","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","11-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133697","1,58,940"
"148","Punjab","Construction of rooms and halls in school and colleges","RK light and sound","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","17-Sep-2024","FARIDKOT(SC)","Payment Success","WS/MP18152/2024-2025/133697","50,000"
"149","Jharkhand","Construction of common work sheds/ common covered sitting area","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","25-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136751","2,40,000"
"150","Jharkhand","Construction of rooms and halls in school and colleges","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","26-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136932","9,60,000"
"151","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","25-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136747","3,20,000"
"152","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","07-Oct-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136749","4,00,000"
"153","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","12-Mar-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135405","1,69,866"
"154","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","05-Dec-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135405","66,368"
"155","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","21-Mar-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135431","1,69,866"
"156","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","06-Dec-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135431","66,368"
"157","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","21-Mar-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135434","1,69,866"
"158","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","06-Dec-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135434","66,368"
"159","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","21-Mar-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135440","1,69,866"
"160","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","08-Dec-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135440","66,368"
"161","Uttar Pradesh","Lighting of public spaces","MAHI ENTERPRISES","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","21-Mar-2025","KUSHI NAGAR","Payment Success","WS/MP812/2024-2025/135817","1,69,866"
"162","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","05-Jan-2026","ELURU","Payment Success","WS/MP18007/2025-2026/137086","4,00,000"
"163","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","24-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137092","4,00,000"
"164","Uttar Pradesh","Lighting of public spaces","Lakshya Contruction","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","AJENDRA SINGH LODHI","04-Dec-2025","HAMIRPUR_UP","Payment Success","WS/MP18219/2025-2026/137967","3,22,531"
"165","Andhra Pradesh","Setting up of laboratories","I MAX SCIENCE HOUSE","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","22-May-2025","ELURU","Payment Success","WS/MP18007/2025-2026/137047","4,00,000"
"166","Chhattisgarh","Construction of boundary walls of existing public and community buildings","SARPANCH GRAM PANCHAYAT AKALSARA","SAKTI(COLLECTOR SAKTI_IDA)","KAMLESH JANGDE","30-Sep-2024","JANJGIR CHAMPA(SC)","Payment Success","WS/MP18278/2024-2025/134630","4,00,000"
"167","Chhattisgarh","Construction of boundary walls of existing public and community buildings","SARPANCH GRAM PANCHAYAT AKALSARA","SAKTI(COLLECTOR SAKTI_IDA)","KAMLESH JANGDE","31-Dec-2024","JANJGIR CHAMPA(SC)","Payment Success","WS/MP18278/2024-2025/134630","6,00,000"
"168","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","GRAM PANCHAYAT NANDOURKHURD","SAKTI(COLLECTOR SAKTI_IDA)","KAMLESH JANGDE","03-Oct-2024","JANJGIR CHAMPA(SC)","Payment Success","WS/MP18278/2024-2025/134655","2,80,000"
"169","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","GRAM PANCHAYAT NANDOURKHURD","SAKTI(COLLECTOR SAKTI_IDA)","KAMLESH JANGDE","18-Nov-2024","JANJGIR CHAMPA(SC)","Payment Success","WS/MP18278/2024-2025/134655","4,20,000"
"170","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","SARPANCH GRAM PANCHAYAT SAKRELIKLA","SAKTI(COLLECTOR SAKTI_IDA)","KAMLESH JANGDE","25-Oct-2024","JANJGIR CHAMPA(SC)","Payment Success","WS/MP18278/2024-2025/134665","4,00,000"
"171","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","26-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136926","8,00,000"
"172","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","11-Jul-2025","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136926","2,00,000"
"173","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","26-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136927","2,40,000"
"174","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","11-Jul-2025","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136927","60,000"
"175","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","26-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136930","2,40,000"
"176","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","11-Jul-2025","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136930","60,000"
"177","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","25-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/136752","2,80,000"
"178","Jharkhand","Installing tube-wells and borewells","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","25-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/137034","3,20,000"
"179","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","26-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/137036","3,20,000"
"180","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","08-Nov-2025","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/137036","80,000"
"181","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","ASSISTANT ENGINEER ZILA PARISHAD KHUNTI","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","KALI CHARAN MUNDA","26-Nov-2024","KHUNTI(ST)","Payment Success","WS/MP18074/2024-2025/137037","2,80,000"
"182","Uttar Pradesh","Lighting of public spaces","KUNAL TRADERS","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","AJENDRA SINGH LODHI","17-Jun-2025","HAMIRPUR_UP","Payment Success","WS/MP18219/2025-2026/137942","3,22,687"
"183","Uttar Pradesh","Lighting of public spaces","KUNAL TRADERS","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","AJENDRA SINGH LODHI","17-Jun-2025","HAMIRPUR_UP","Payment Success","WS/MP18219/2025-2026/137944","3,22,687"
