"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"70","Normal/Others","WS/MP18032/2024-2025/143625-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Construction of Community hall at Pachilkhi(Durgawati)","SUDHAKAR SINGH","BUXAR","23-Aug-2025","N/A","N/A","7,96,871"
"71","Normal/Others","WS/MP18032/2024-2025/143626-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Construction of community hall with toilet near Ram Janki pond at Nuaon","SUDHAKAR SINGH","BUXAR","08-Jan-2026","N/A","N/A","9,26,359"
"72","Normal/Others","WS/MP681/2024-2025/143974-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of sabha mandap at Suki, tal.purna. (ST)","Sanjay Haribhau Jadhav","PARBHANI","16-Jul-2025","Images","N/A","6,99,926"
"73","Normal/Others","WS/MP18323/2025-2026/144107-Construction of community centers and community halls","Maharashtra","LATUR(DISTRICT COLLECTOR LATUR_IDA)","Construction of Community Hall at Ward No.17,Lakshminagar,Chakur,District.Latur","DR KALGE SHIVAJI BANDAPPA","LATUR(SC)","17-Feb-2026","Images","N/A","14,94,640"
"74","Normal/Others","WS/MP761/2024-2025/144938-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of community hall","Arvind Dharmapuri","NIZAMABAD","23-Aug-2025","N/A","N/A","3,99,115"
"75","Normal/Others","WS/MP761/2024-2025/144956-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall","Arvind Dharmapuri","NIZAMABAD","23-Aug-2025","N/A","N/A","4,86,885"
"76","Normal/Others","WS/MP761/2024-2025/144957-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall near Guradireddy Colony","Arvind Dharmapuri","NIZAMABAD","23-Aug-2025","N/A","N/A","3,69,825"
"77","Normal/Others","WS/MP761/2024-2025/144960-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hal in SC Wada","Arvind Dharmapuri","NIZAMABAD","20-Aug-2025","N/A","N/A","4,91,636"
"78","Normal/Others","WS/MP761/2024-2025/144976-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall in Munnurukapu Wada","Arvind Dharmapuri","NIZAMABAD","21-Aug-2025","N/A","N/A","4,00,000"
"79","Normal/Others","WS/MP761/2024-2025/144978-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall near Yellammagutta Hanuman Temple","Arvind Dharmapuri","NIZAMABAD","23-Aug-2025","N/A","N/A","3,00,000"
"80","Normal/Others","WS/MP761/2024-2025/144987-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall near Maheshwari Mandapam, Dubba","Arvind Dharmapuri","NIZAMABAD","23-Aug-2025","N/A","N/A","3,97,481"
"81","Normal/Others","WS/MP761/2024-2025/144990-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall in Munnurukapu Wada near Shivaji Chowrasta Godown Road","Arvind Dharmapuri","NIZAMABAD","21-Aug-2025","N/A","N/A","3,99,322"
"82","Normal/Others","WS/MP761/2024-2025/144991-Construction of community centers and community halls","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Community Hall near Ganesh Housing Society behind PF Office","Arvind Dharmapuri","NIZAMABAD","21-Aug-2025","N/A","N/A","3,97,374"
